date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2017-03-20,94.805,17.565,-2.001270904505654,1.404746582175802,-0.17310451820485523,6.3352101342672995e-15,-1.758102924198201
2017-03-21,93.085,17.155,-3.3556639802712884,1.0696588732917918,-0.2059336739421203,-0.04450484851921811,-3.0908803501103024
2017-03-22,91.995,17.235,-4.226988309644355,1.1356662942341995,-0.25232444461080245,-0.1136712695948808,-3.826760673093622
2017-03-23,92.59,17.215,-3.7500855050357833,1.1191932073941775,-0.31772873349484265,-0.18804124818433943,-3.206444416530061
2017-03-24,91.225,17.235,-4.8487560931912705,1.1356662942341995,-0.3661614712676694,-0.25186263439728707,-4.181056217628087
2017-03-27,90.88,17.205,-5.129044772258619,1.1109494858100715,-0.46809673275610286,-0.2909118340798139,-4.318101113614039
2017-03-28,91.19,17.265,-4.877142819765264,1.1603401168828604,-0.5381499442858629,-0.3587760381344084,-3.893929812377692
2017-03-29,90.555,17.265,-5.3940598411593585,1.1603401168828604,-0.5987671301268757,-0.4218224098271114,-4.277463909575213
2017-03-30,91.435,17.645,-4.678664109859916,1.469216761605196,-0.6735030912337776,-0.47748687515945576,-3.2116552040668807
2017-03-31,91.225,17.895,-4.8487560931912705,1.6688183156372765,-0.7516946316117371,-0.5055294864261726,-3.088784837765216
2017-04-03,90.475,17.595,-5.459440196447463,1.4289572441041059,-0.8934550305270106,-0.46942966976880685,-3.7133014885258286
2017-04-04,90.425,17.715,-5.50033228202211,1.5253888435414864,-1.0402136224832685,-0.43373277918023545,-3.4798692482060214
2017-04-05,88.745,17.685,-6.887613570803239,1.5013423217729027,-1.1775345653883256,-0.39298171531982107,-4.726749377115463
2017-04-06,89.415,17.555,-6.331229793680375,1.3966671716800827,-1.3417868376230875,-0.35715910273614415,-4.100041063443631
2017-04-07,89.435,17.365,-6.314685475820955,1.242277650130932,-1.529628600023052,-0.26892070755952224,-4.145541345451728
2017-04-10,89.69,17.365,-6.104069125477767,1.242277650130932,-1.6194053719965729,-0.2723459410199046,-3.8199720843245513
